epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,4616.39,0.70202,1.64978,1.51685,1.20911,0,0.49281,0.58014,0.55108,0.45438,0.50099,0.57178,0.54661,0.43083,0.65742,1.51778,1.36257,1.1659,0,0.000541469,0.000541469,0.000541469
29,4781.09,0.69355,1.65403,1.49694,1.19793,0,0.49224,0.57511,0.54505,0.45161,0.50597,0.57386,0.54377,0.43412,0.65573,1.47588,1.3805,1.14657,0,0.000538375,0.000538375,0.000538375
30,4945.78,0.69271,1.66311,1.49493,1.19639,0,0.48612,0.58021,0.55588,0.46813,0.49713,0.57867,0.55647,0.44483,0.63947,1.47481,1.38063,1.14898,0,0.000535281,0.000535281,0.000535281
31,5110.71,0.67642,1.63213,1.47931,1.19227,0,0.50345,0.57945,0.54942,0.45474,0.51022,0.58771,0.54872,0.43192,0.65227,1.53633,1.36,1.15845,0,0.000532187,0.000532187,0.000532187
32,5275.27,0.67777,1.60249,1.46119,1.18749,0,0.46803,0.60445,0.54483,0.45677,0.47051,0.60788,0.54729,0.43757,0.63668,1.47192,1.39561,1.14277,0,0.000529094,0.000529094,0.000529094
33,5439.57,0.68164,1.63309,1.4646,1.19284,0,0.49315,0.57453,0.55014,0.45417,0.49892,0.57989,0.5553,0.43676,0.64779,1.51523,1.39335,1.15643,0,0.000526,0.000526,0.000526
34,5603.81,0.67458,1.59149,1.42828,1.18523,0,0.51317,0.55925,0.54075,0.44604,0.51749,0.55918,0.53884,0.42372,0.65273,1.52416,1.37786,1.15804,0,0.000522906,0.000522906,0.000522906
35,5768.21,0.66366,1.5729,1.43321,1.17448,0,0.52216,0.58204,0.56865,0.47127,0.526,0.58196,0.56697,0.45347,0.63906,1.45747,1.33629,1.14138,0,0.000519812,0.000519812,0.000519812
36,5932.5,0.66748,1.57972,1.42461,1.17984,0,0.51069,0.59084,0.56237,0.47513,0.5216,0.58627,0.56063,0.45218,0.6111,1.41488,1.32267,1.11642,0,0.000516719,0.000516719,0.000516719
37,6096.85,0.6572,1.56138,1.4066,1.1717,0,0.51502,0.58236,0.56191,0.47347,0.5323,0.56487,0.56046,0.45073,0.61446,1.4369,1.31771,1.13009,0,0.000513625,0.000513625,0.000513625
38,6261.55,0.64879,1.56032,1.39466,1.16678,0,0.51119,0.57843,0.57255,0.47887,0.52365,0.56286,0.56636,0.45051,0.63319,1.48022,1.30484,1.14267,0,0.000510531,0.000510531,0.000510531
39,6426.08,0.66523,1.59339,1.4063,1.18469,0,0.51287,0.59549,0.56992,0.47427,0.51027,0.59219,0.56077,0.45333,0.63385,1.43241,1.32462,1.1387,0,0.000507438,0.000507438,0.000507438
40,6590.28,0.63518,1.4686,1.3508,1.15928,0,0.51628,0.57907,0.56135,0.4717,0.51966,0.58686,0.56473,0.44994,0.63965,1.48558,1.34106,1.14558,0,0.000504344,0.000504344,0.000504344
41,6754.34,0.65525,1.55858,1.37426,1.16835,0,0.52653,0.6067,0.57957,0.49265,0.52842,0.60123,0.57748,0.46829,0.62604,1.45528,1.29311,1.14439,0,0.00050125,0.00050125,0.00050125
42,6918.89,0.64376,1.56036,1.36849,1.16236,0,0.51696,0.61817,0.58239,0.49632,0.63013,0.53813,0.57849,0.46574,0.59175,1.43377,1.31052,1.10561,0,0.000498156,0.000498156,0.000498156
43,7083.06,0.64773,1.57782,1.36904,1.16405,0,0.50209,0.60224,0.57903,0.48675,0.51229,0.5916,0.57573,0.45399,0.61553,1.50897,1.29805,1.11962,0,0.000495063,0.000495063,0.000495063
44,7247.52,0.63943,1.51391,1.33942,1.15781,0,0.54048,0.57207,0.57811,0.49338,0.54526,0.576,0.57663,0.46714,0.60924,1.43416,1.30263,1.12328,0,0.000491969,0.000491969,0.000491969
45,7411.41,0.63414,1.52446,1.34416,1.15662,0,0.53135,0.58254,0.57681,0.48795,0.53217,0.59263,0.57943,0.46969,0.61664,1.41872,1.26272,1.14037,0,0.000488875,0.000488875,0.000488875
46,7575.87,0.63374,1.51007,1.31266,1.15021,0,0.53513,0.59436,0.57589,0.48869,0.56493,0.57713,0.57332,0.46899,0.61008,1.39791,1.30592,1.10956,0,0.000485781,0.000485781,0.000485781
47,7740.42,0.6235,1.47167,1.29383,1.1409,0,0.542,0.58022,0.58095,0.48549,0.54189,0.57799,0.5757,0.45726,0.62236,1.43684,1.28033,1.12847,0,0.000482687,0.000482687,0.000482687
48,7904.7,0.63119,1.51017,1.31183,1.14868,0,0.55224,0.55659,0.57888,0.48709,0.55156,0.55609,0.57191,0.46452,0.62638,1.44404,1.30384,1.13852,0,0.000479594,0.000479594,0.000479594
49,8069.17,0.62744,1.49872,1.29065,1.14941,0,0.5543,0.59822,0.58734,0.49708,0.55897,0.59757,0.58605,0.47194,0.60931,1.3967,1.26524,1.11096,0,0.0004765,0.0004765,0.0004765
50,8233.64,0.6049,1.4367,1.26824,1.12985,0,0.53616,0.60671,0.58748,0.50206,0.53606,0.60883,0.58689,0.47267,0.60859,1.46237,1.29504,1.1221,0,0.000473406,0.000473406,0.000473406
51,8398.07,0.60889,1.46235,1.27243,1.12908,0,0.56456,0.59323,0.5903,0.50184,0.57724,0.58775,0.58689,0.47372,0.6078,1.41455,1.26651,1.11774,0,0.000470312,0.000470312,0.000470312
52,8562.44,0.61375,1.49272,1.27322,1.13751,0,0.52059,0.60707,0.57459,0.48751,0.52798,0.60314,0.56844,0.46139,0.60627,1.43303,1.28969,1.11156,0,0.000467219,0.000467219,0.000467219
53,8726.94,0.60815,1.42872,1.2408,1.13279,0,0.52401,0.59102,0.58511,0.49676,0.52617,0.59344,0.58069,0.46967,0.59881,1.38231,1.29855,1.1163,0,0.000464125,0.000464125,0.000464125
54,8890.92,0.61268,1.47063,1.26295,1.13641,0,0.52914,0.59427,0.57876,0.49078,0.53077,0.59567,0.5753,0.46465,0.59138,1.42321,1.32722,1.11198,0,0.000461031,0.000461031,0.000461031
55,9055.25,0.59183,1.42267,1.21703,1.11887,0,0.58751,0.55936,0.59022,0.50524,0.59396,0.56118,0.58646,0.47641,0.58795,1.37549,1.25606,1.10199,0,0.000457938,0.000457938,0.000457938
56,9219.84,0.59689,1.4286,1.22611,1.11869,0,0.60791,0.55414,0.58877,0.4986,0.60545,0.55096,0.58114,0.47015,0.58972,1.42072,1.28088,1.10228,0,0.000454844,0.000454844,0.000454844
57,9384,0.61977,1.47969,1.24104,1.14116,0,0.58534,0.56024,0.58937,0.50272,0.58523,0.56007,0.58605,0.47463,0.59654,1.40827,1.25542,1.11105,0,0.00045175,0.00045175,0.00045175
58,9548,0.59485,1.41955,1.21808,1.12235,0,0.53606,0.5978,0.58986,0.50372,0.53409,0.6169,0.58849,0.47419,0.61222,1.43139,1.28775,1.12912,0,0.000448656,0.000448656,0.000448656
